profession,currency,vacancyRichText,education,experience,firm_name,town_name,region__title,country_title,client_staff_count,position,salary
Дежурный специалист по информационной безопасности,rub," ФФКУ ""Налог-Сервис"" ФНС России по ЦОД- это продвинутая IT - организация с новейшим оборудованием и современными технологиями. Мы занимаемся сопровождением IT - инфраструктуры центров обработки данных (ЦОД) налоговой службы. Наша организация - крупнейшая в Европе локальная сеть с 4-мя центрами обработки данных, которая реализует уникальные проекты федерального масштаба с интересными задачами. Обязанности: Решение инцидентов, обработка запросов на обслуживание, работа с проблемами, рисками, изменениями; Оперативное реагирование и решение нештатных ситуаций; Эксплуатация средств защиты информации (СЗИ); Участие в процессе управления доступом; Мониторинг несанкционированного доступа; Мониторинг вирусной активности; Мониторинг состояния критически важных компонентов средств обеспечения безопасности информации (СОБИ); Анализ организации правил сетевых взаимодействий в составе политик сетевой безопасности; Проверка данных на наличие конфиденциальной информации, на соответствие требованиям информационной безопасности; Анализ и отправка информации ограниченного доступа; Мониторинг и реагирование на события информационной безопасности; Контроль обнаружения вредоносного программного обеспечения; Работа со средствами криптографической защиты информации. Требования: Опыт администрирования ОС семейств Windows/Linux; Знание основ моделей TCP/IP, OSI, принципов работы интернет-сервисов; Знание основных принципов и категорий средств защиты информации; Знание базового английского языка для чтения технической и эксплуататционной документации (журналов, инструкций); Навыки быстрого поиска эффективных решений для достижения результата; Понимание и умение применять в работе структурные схемы процессов и компонентов систем. Будет плюсом: Опыт работы с продуктами и решениями в области ИБ крупнейших отечественных компаний (Код Безопасности, Лаборатория Касперского и т.д.); Опыт эффективного взаимодействия с инженерными и техническими службами различных направлений (AD, Telecom, и т.д.); Опыт автоматизации рутинных операций; Опыт администрирования средств защиты информации и средств криптографической защиты; Опыт работы с межсетевыми экранами; Опыт работы с Jira, Confluence, а также с системами мониторинга (Zabbix или аналогичные); Понимание принципов построения сетей и работы сетевого оборудования; Умение грамотно оценивать риски и принимать оперативные решения по устранению инцидентов ИБ. Условия: Оформление в соответствии с ТК РФ (не госслужба); Сменный график: 5 смен в неделю по 8 часов (с 11:00 до 20:00, с 03:00 до 12:00, с 19:00 до 04:00) и 2 выходных. График составляется за месяц; Полностью официальная конкурентоспособная заработная плата по результатам собеседования; Все государственные льготы, предоставляемые IT- компаниям (в том числе отсрочка от частичной мобилизации); Основной отпуск 28 календарных дней, дополнительный отпуск от 5 до 10 календарных дней (в зависимости от должности); Материальная помощь к отпуску; Скидка на питание в столовых, расположенных на территории; Корпоративный фитнес; Медицинское обслуживание в ведомственной поликлинике ФНС России для сотрудников и членов их семей; Возможность отдыха с семьей по льготным ценам в оздоровительных учреждениях ФНС России. ",Не имеет значения,От 1 года,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Уфа,Республика Башкортостан,Россия,100 — 500,"['Другое', 'Информационная безопасность']",0.0
Системный администратор,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Сопровождение автоматизированных информационных и телекоммуникационных систем, систем телефонии, антивирусной защиты; Администрирование аппаратного обеспечения рабочих станций, периферийного оборудования и систем обеспечения бесперебойного питания; Администрирование операционных систем семейства Windows, общесистемного программного обеспечения; Установка и настройка клиентской части прикладных программных комплексов, участие в создании и настройке локальной вычислительной сети; Учет и актуализация информации по оборудованию и ПО, находящемуся в эксплуатации, с использованием информационных ресурсов; Сопровождение и эксплуатация структурированной кабельной системы; Мониторинг компонентов информационно-технологической инфраструктуры; Проведение работ по ремонту и модернизации рабочих станций, регламентных, профилактических работ по обеспечению работоспособности телекоммуникационных систем, рабочих станций, серверного и периферийного оборудования. Требования: Среднее специальное или высшее профильное образование; Знания и навыки обслуживания аппаратного устройства рабочих станций, периферийного оборудования малой и средней производительности (принтеры, сканеры), активного сетевого оборудования (коммутаторы, маршрутизаторы); Навыки установки, настройки, администрирования операционных систем рабочих станций и серверного оборудования; Навыки установки, настройки, администрирования общесистемного ПО рабочих станций (архиваторы, текстовые редакторы, почтовые программы и пр.); Знание основ коммутации кроссовых панелей серверных помещений, навыки подготовки коммутационных кабелей (RG-11, RG-45), умение проводить тестирование порта СКС; Умение применять утилиты сестевой диагностики и базовые знания стека протоколов TCP/IP; Навыки обслуживания SIP-телефонии; Базовые знания основ информационной безопасности, навыки установки и администрирования систем антивирусной защиты (Kaspersky). Будет плюсом: Релевантный опыт работы от 1 года. Условия: График работы 5/2 с 9:00 до 18:00; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования; Предоставление льгот аккредитованной IT-организации; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск 7 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации; Возможность профессионального и карьерного роста. ",Не имеет значения,От 1 года,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Фурманов,Ивановская область,Россия,100 — 500,"['Администрирование баз данных', 'Системное администрирование', 'Техническая поддержка', 'Начало карьеры, мало опыта', 'Внедрение и сопровождение ПО']",36540.0
Системный администратор,rub," ФКУ Налог-Сервис ФНС России - это продвинутая IT - организация с новейшим оборудованием и современными технологиями. Мы занимаемся сопровождением IT - инфраструктуры центров обработки данных (ЦОД) налоговой службы. Обязанности: Администрирование аппаратного и программного обеспечения серверного оборудования; Администрирование рабочих станций, периферийного оборудования; Администрирование локальной вычислительной сети (ЛВС), IP телефонии, общесистемного программного обеспечения (ОПО); Установка и настройка прикладных программных комплексов ФНС России. Требования: Знание и понимание функционирования ЛВС, основных протоколов передачи данных; Администрирование ОС Windows; Базовые навыки настройки и обслуживания ПК, серверного оборудования и периферии. Будет плюсом: администрирование ОС Linux. Условия: График работы 5/2: с 8:00 до 17:00 (возможен разъездной характер работы); Оформление в соответствии с ТК РФ (не Госслужба); Все государственные льготы, предоставляемые IT- компаниям; Полностью официальная заработная плата по результатам собеседования; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Материальная помощь к отпуску; Возможность отдыха с семьей по льготным ценам в оздоровительных учреждениях ФНС. Возможность профессионального и карьерного роста. ",Не имеет значения,От 1 года,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Скадовск,Херсонская область,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",55000.0
Системный администратор,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Обслуживание компьютерной техники и периферийных устройств пользователей; Администрирование сетей территориальных налоговых органов. Требования: Среднее профессиональное или высшее образование по направлению информационных технологий; Умение настроить и подключить рабочую станцию; Умение установить программное обеспечение; Умение пользоваться технической документацией. Условия: График работы 5/2; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования; Предоставление льгот аккредитованной IT-организации; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации; Возможность профессионального и карьерного роста. ",Не имеет значения,Без опыта,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Тосно,Ленинградская область,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",43500.0
Системный администратор,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Администрирование аппаратного и программного обеспечения серверного оборудования, рабочих станций, периферийного оборудования, локальной вычислительной сети (ЛВС), общесистемного программного обеспечения (ОПО); Установка и настройка прикладных программных комплексов ФНС России. Требования: Среднее специальное или высшее профильное образование; Знание и понимание функционирования ЛВС, основных протоколов передачи данных; Навыки администрирования ОС Windows; Базовые навыки настройки и обслуживания ПК, серверного оборудования и перефирии; Будет плюсом: Навыки администрирования ОС Linux. Условия: График работы 5/2 с 8:00 до 17:00, возможен разъездной характер работы, ненормированный режим дня; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования, ежеквартальные премии по итогам работы; Предоставление льгот аккредитованной IT-организации; Основной отпуск 28 календарных дней + ежегодный дополнительный оплачиваемый отпуск работникам за ненормированный рабочий день в размере 8 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации, возможность профессионального и карьерного роста. ",Не имеет значения,Без опыта,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Скадовск,Херсонская область,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",32500.0
Системный администратор,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Администрирование аппаратного обеспечения серверного оборудования, рабочих станций, периферийного оборудования; Администрирование ОС семейства Windows, Unix, общесистемного программного обеспечения, системы управления баз данных; Администрирование систем виртуализации, системы антивирусной защиты, электронной почты; Администрирование системы управления очередью; Установка и настройка прикладных программных комплексов ФНС России; Проведение периодических плановых регламентных и профилактических работ. Требования: Навыки обслуживания персональных компьютеров (сборка, замена частей, профилактические работы, выявление проблем); Навыки обслуживания периферийного оборудования (принтеры, сканеры); Базовые знания программно-аппаратного устройства серверного оборудования; Знание коммутации кроссовых панелей серверных помещений; Базовые знания AD, DNS, DHCP, NAT, стека протоколов TCP/IP (классы сетей, маски, маршрутизации); обслуживания АТС (установка телефона); Навыки работы с электронной почтой (IBM Lotus Notes), с системой антивирусной защиты (Kaspersky Administration Kit). Будет плюсом: Высшее образование в сфере информационных технологий. Условия: График работы 5/2, полная занятость; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования, ежемесячные и ежеквартальные премии по итогам работы; Возможность оформления льготной ипотеки как работнику аккредитованной IT-организации,пониженная ставка при получении кредита участнику зарплатного проекта; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации и возможность карьерного роста. Мы находимся по следующим адресам: г. Владимир, ул. Диктора Левитана, д.2; г. Владимир, Суздальский проспект, д. 9; г. Владимир, 1-ый Коллективный проезд; г. Владимир, ул. Садовая, д. 16Б. ",Не имеет значения,Без опыта,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Владимир,Владимирская область,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",26100.0
Системный администратор,rub," Обязанности: Администрирование аппаратной части рабочих станций и серверов; Администрирование аппаратного обеспечения периферийного оборудования; Администрирование локальной вычислительной сети (ЛВС); Администрирование операционных систем семейства Windows, Unix; Установка, настройка, обновление ВКС и контроль работы системы телефонии; Сопровождение программных комплексов ФНС России. Требования: Навыки настройки и подключения периферийного оборудования; Базовые знания сетевого оборудования; Работоспособность, обучаемость. Условия: График работы 5/2 с 09:00 до 18:00; Оформление в соответствии с ТК РФ (не Госслужба); Полностью официальная конкурентоспособная заработная плата по результатам собеседования; Основной отпуск 28 календарных дней, дополнительный отпуск от 5 до 10 календарных дней (в зависимости от должности); Материальная помощь к отпуску; Льготные путевки для сотрудников и членов их семей на санаторно-курортное лечение и отдых. Наши офисы находятся по следующим адресам: г. Сочи, Курортный проспект, 106Б; Краснодарский край, ПГТ Сириус, ул.Триумфальная, 10. ",Не имеет значения,От 1 года,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Сочи,Краснодарский край,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",51500.0
Специалист по информационной безопасности,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Администрирование средств антивирусной защиты; Администрирование средств криптографической защиты информации; Администрирование средств защиты информации от НСД; Проведение работы по выявлению угроз безопасности информации и по устранению актуальных угроз; Ведение документов в области информационной безопасности. Требования: Высшее/среднее профессиональное образование или профессиональная переподготовка в области информационной безопасности/информационных технологий. Будет плюсом: Опыт работы по администрированию средств защиты информации, ведению документов в области информационной безопасности. Условия: График работы 5/2, пн-чт с 8:30 до 17:30, пт с 8:30 до 16:30; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования; Предоставление льгот аккредитованной IT-организации; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации; Возможность карьерного роста. ",Не имеет значения,Без опыта,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Кемерово,Кемеровская область,Россия,100 — 500,"['Другое', 'Информационная безопасность']",30000.0
Системный администратор,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных (ЦОД). Обязанности: Администрирование аппаратного обеспечения рабочих станций и серверов; Администрирование аппаратного обеспечения переферийного оборудования; Администрирование локальной вычислительной сети (ЛВС); Администрирование операционных систем семейства Windows, Unix; Установка, настройка, обновление, сопровождение ВКС и контроль работы системы телефонии; Сопровождение программных комплексов ФНС России. Требования: Продвинутый пользователь ПК; Будет плюсом: базовые знания сетевого оборудования, навыки диагностики периферийного оборудования и ПК. Условия: График работы 5/2: с 9:00 до 18:00; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Льготные путевки работникам и членам их семьи; Материальная помощь к отпуску; Обучение за счет организации; Возможность профессионального и карьерного роста. ",Не имеет значения,Без опыта,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Геленджик,Краснодарский край,Россия,100 — 500,"['Администрирование баз данных', 'Сетевые технологии', 'Системное администрирование', 'Техническая поддержка', 'Внедрение и сопровождение ПО']",36105.0
Специалист по информационной безопасности,rub," ФКУ ""Налог Сервис"" - это IT-компания, подведомственная ФНС России. Мы реализуем IT-проекты федерального масштаба, обеспечиваем непрерывное и отказоустойчивое функционирование сервисов ФНС России и информационно-технологической инфраструктуры центров обработки данных. Обязанности: Ведение организационно-распорядительных, методических и иных документов в области информационной безопасности; Обеспечении выполнения всего комплекса практических работ по применению средств криптографической защиты информации и электронной подписи (СКЗИ и ЭП), контроле обращения с ключевой информацией и использования межсетевых экранов (МЭ); Осуществлять ведение реестров, журналов, списков доступа работников к защищаемым ресурсам, актов, протоколов и другой документации в области обеспечения ИБ, а также иной технической документации, связанной с эксплуатацией средств и систем обеспечения ИБ; Проводить консультации работников Филиала по вопросам обеспечения ИБ и работу по обучению работников Филиала основам ИБ и правилам работы со средствами защиты информации. Требования: Релевантный опыт работы от 1-ого года (допускается отсутствие опыта работы по ИБ при условии прохождения курсов повышения квалификации по ИБ общей продолжительностью не менее 72 часов с получением подтверждающего документа); Высшее профессиональное образование; Знание операционных систем, их уязвимостей; Знание законодательства и стандартов в области информационной безопасности; Навыки работы с СКЗИ; Навыки подготовки организационно-распорядительной документации и отчетов по ИБ. Условия: График работы 5/2, пн-чт с 9:00 до 18:00, пт до 16:45; Оформление в соответствии с ТК РФ (не госслужба); Полностью официальная заработная плата по результатам собеседования; Предоставление льгот аккредитованной IT-организации; Основной отпуск 28 календарных дней + дополнительный оплачиваемый отпуск от 5 до 10 дней; Материальная помощь к отпуску; Льготные путевки в ведомственные учреждения для сотрудников и членов их семей на санаторно-курортное лечение и отдых; Повышение профессиональной квалификации; Возможность карьерного роста. ",Не имеет значения,От 1 года,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,Кострома,Костромская область,Россия,100 — 500,"['Другое', 'Информационная безопасность']",52200.0
