profession,company,vac_description,experience,region,country,company_staff_count,salary,education
Разработчик,"Русская Медиагруппа, радиохолдинг",,3,Московская область,Россия,,,
Разработчик,Детский хоспис Дом с маяком,"['JSON', 'API', 'знание', 'REST', 'Git', 'REST API', 'Python', 'SQL', 'GitHub', 'понимание', 'данных']",1,Московская область,Россия,,95000.0,
Backend-разработчик,ООО ГК СтиС,"['PHP 7.4', 'Builder', 'Eloquent', 'PHP', 'ORM', 'Laravel 7', 'Eloquent ORM', 'PHP 7.4+', 'Laravel', 'Query']",1,Московская область,Россия,,,
Разработчик ЦФТ,Bell Integrator,"['ЦФТ', 'банк', 'ЦФТ-Банк', 'АБС']",3,Московская область,Россия,,,
Разработчик C++,ООО БУЛАТ,"['kernel', 'оптимизация', 'Linux']",3,Московская область,Россия,,,
Unity-разработчик,ООО Нектар,"['C', 'Алгоритмы и структуры данных', 'классические алгоритмы', 'C#', 'алгоритмы', 'структуры данных', 'данных']",6,Московская область,Россия,,150000.0,
PHP-разработчик,Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,"['HTML', 'JavaScript', 'CSS']",3,Московская область,Россия,,,
Python-разработчик,Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,"['Хранимые процедуры', 'знание', 'Оптимизация запросов', 'Python', 'Pandas', 'агрегатные функции', 'SQL', 'оконные функции', 'оптимизация']",3,Московская область,Россия,,,
Golang-разработчик,BI.ZONE Направление Разработка,"['HTTP/HTTPS', 'Go', 'TLS', 'HTTP', 'HTTPS']",3,Московская область,Россия,,,
Разработчик C#,ГКУ Инфогород,"['Kubernetes', 'RabbitMQ', 'CD', 'CI/CD', 'CI', 'Kafka', 'GitLab', 'NATS']",3,Московская область,Россия,,,
Разработчик Java,Data World,"['знание', 'boot', 'Spring', 'Spring Boot', 'PostgreSQL', 'Java', 'код', 'XSD', 'XML']",3,Московская область,Россия,,,
Методист-разработчик,ООО Термика,,1,Московская область,Россия,,,
Ruby-разработчик,АО Флант,"['stimulus', 'Sidekiq', 'PostgreSQL', 'Rails', 'Ruby', 'Tailwind']",6,Московская область,Россия,,,
Backend-разработчик,ООО Инженерный центр Автоматизированные системы контроля,"['Django', 'FastAPI', 'Git', 'Python3', 'PostgreSQL', 'Docker', 'SQL']",0,Московская область,Россия,,,
SQL-разработчик,IT_One,['Web'],3,Московская область,Россия,,,
Ведущий разработчик,БИТ,"['T-SQL', 'JavaScript', 'MS SQL', 'pl', 'MS SQL Server', 'PostgreSQL', 'SQL', 'Oracle', 'HTML', 'SQL Server', 'PL/pgSQL']",1,Московская область,Россия,,200000.0,
Младший разработчик,Инфосистемы Джет,"['Security', 'jet']",1,Московская область,Россия,,,
Разработчик DWH,ООО Абсолют Страхование,"['Системный анализ', 'DWH', 'опыт проектирования', 'Анализ', 'данных']",3,Московская область,Россия,,,
RTL-разработчик,ООО Трамплин Электроникс,"['level', 'RTL', 'Verilog', 'знание']",3,Московская область,Россия,,200000.0,
Повар-разработчик,ООО ПРОМЫШЛЕННАЯ КУЛИНАРИЯ,['понимание'],3,Московская область,Россия,,120000.0,
Android-разработчик,ООО КСОР,"['SDK', 'Kotlin', 'Android SDK', 'уверенное владение', 'Android']",3,Московская область,Россия,,,
Разработчик (Scala),Онлайнтурс,"['Scala', 'опыт проектирования', 'уверенное владение', 'архитектуры', 'SQL']",3,Московская область,Россия,,,
Вайб-кодер,ОК-СТАФФ,"['Python', 'JavaScript', 'понимание']",1,Московская область,Россия,,,
Python разработчик,Сбер. IT,"['Django', 'Framework', 'FastAPI', 'знание', 'Django Rest Framework', 'REST', 'Flask', 'Python', 'Rest Framework', 'SQL', 'Django Rest']",3,Московская область,Россия,,,
Python-разработчик,Сбер. IT,"['Разработка', 'Python', 'UDP', 'TCP', 'ICMP']",6,Московская область,Россия,,,
Python-разработчик,ООО ИЦ АЙ-ТЕКО,"['FastAPI', 'Python', 'langgraph', 'langchain', 'библиотеками', 'asyncpg', 'понимание']",3,Московская область,Россия,,220000.0,
Старший разработчик Linux,ООО РДП Энтерпрайз,"['Linux', 'знание', 'C', 'архитектура', 'embedded', 'Администрирование']",3,Московская область,Россия,,,
Web-разработчик,ООО Лин Айти,"['Wordpress', 'Actions', 'знание', 'PHP', 'понимание']",1,Московская область,Россия,,,
Backend разработчик,Aiti Guru,"['Python', 'знание']",1,Московская область,Россия,,,
C++ разработчик (RuBackup),Группа компаний Астра,"['знание', 'Git', 'STL', 'SQL', 'Boost', 'данных']",3,Московская область,Россия,,,
ETL Разработчик,ЛИАН,"['Big Data', 'Azure', 'Data', 'Hadoop', 'Kubernetes', 'Spark', 'AWS', 'Docker', 'GCP']",6,Московская область,Россия,,,
Бэкенд разработчик,ООО ВЕЛЕС РИСЕРЧ,"['FastAPI', 'TypeScript', 'Docker', 'Redis', 'GitHub', 'контейнеризация', 'React', 'Базы данных', 'CI', 'GitLab', 'Frontend', 'данных', 'CI/CD', 'Flask', 'Backend', 'Python', 'Django', 'CD', 'Gitlab CI', 'PostgreSQL']",1,Московская область,Россия,,70000.0,
Golang разработчик,Клируэй Текнолоджис,"['ДО', 'понимание', 'данных']",6,Московская область,Россия,,300000.0,
Разработчик C#,Bip.ru,"['API', 'C', 'СУБД', 'C#', 'Web Api', 'Web']",3,Московская область,Россия,,250000.0,
Android-разработчик,АО Центр Биометрических Технологий,"['Kotlin', 'код', 'Java', 'Android']",3,Московская область,Россия,,,
Программист,ООО Первый ДСК,"['1С', 'опыт программирования']",3,Московская область,Россия,,,
Разработчик C++,ООО ИКС ЛАБЗ,['документации'],3,Московская область,Россия,,175000.0,
Embedded разработчик,ИнСАТ,"['знание', 'Stm32', 'C++', 'Web', 'HTML']",3,Московская область,Россия,,,
Старший разработчик RPA,Газпромбанк,"['RPA', 'it', 'uipath', 'архитектуры', 'понимание']",1,Московская область,Россия,,,
Вайб-кодер,Домклик,"['JavaScript', 'API', 'TypeScript', 'Python', 'код', 'понимание']",1,Московская область,Россия,,,
PHP-разработчик,ООО Арлайт РУС,"['знание', 'СУБД', 'PHP']",3,Московская область,Россия,,,
Ведущий разработчик Java,ООО Цифровая Лаборатория,"['boot', 'Spring', 'Spring Boot', 'уверенное владение', 'Java']",3,Московская область,Россия,,,
Backend-разработчик,ДЖЕЙКЕТ РАБОТА,"['OpenProject', 'Kanban', 'код', 'GitLab', 'Ревью']",3,Московская область,Россия,,,
Frontend-разработчик,ООО Арлайт РУС,"['JavaScript', 'DOM', 'CSS3', 'анимации', 'FlexBox', 'JavaScript ES6', 'БЭМ', 'управление', 'JQuery', 'Javascript ES6+', 'Grid']",3,Московская область,Россия,,,
Flutter-разработчик,AMDY GROUP,['Flutter'],3,Московская область,Россия,,,
Разработчик 1С,ООО Йолка,['знание'],3,Московская область,Россия,,,
1С разработчик,АО Тривио,"['1С', 'БП', '1С 8.3', 'знание']",6,Московская область,Россия,,,
Стажер Fullstack-разработчик,ИП Васильев Роман Андреевич,,0,Московская область,Россия,,65000.0,
Frontend-разработчик,ИП Панин Павел Сергеевич,"['JavaScript', 'HTML5', 'CSS3', 'ads', 'TypeScript']",1,Московская область,Россия,,100000.0,
Drupal-разработчик,ФГБУ ИАЦ МЧС РОССИИ,"['API', 'form', 'Drupal 7', 'database', 'Drupal', 'views', 'уверенное владение', 'понимание']",3,Московская область,Россия,,,
Middle Frontend-разработчик,ООО 1С-Старт,"['знание', 'UI', 'TypeScript', 'React', 'UX']",3,Московская область,Россия,,200000.0,
IT-разработчик,ООО ИКС БИО ТЕХНОЛОДЖИ,"['AI', 'процессы', 'бизнес', 'Бизнес-процессы']",3,Московская область,Россия,,,
Разработчик SQL,Everia Life,"['технологии', 'Информационные технологии']",1,,,,,
Middle Python-разработчик,amoCRM,"['Docker', 'Python', 'AI']",1,Московская область,Россия,,,
Erlang-разработчик,ООО ФАЙВДЖЕН,"['Linux', 'знание', 'otp', 'Erlang', 'Bash', 'понимание']",1,Московская область,Россия,,,
Frontend разработчик,АО Институт экономики и развития транспорта,"['it', 'JavaScript', 'знание', 'CSS', 'SPA', 'HTML']",1,Московская область,Россия,,,
Программист-разработчик,АО НПК Атроник,"['знание', 'СУБД', 'PostgreSQL', 'SQL', 'C++', 'данных']",0,Московская область,Россия,,110000.0,
Программист-разработчик-системный администратор,Модный Дом Mastersuit,"['Windows Server', 'macOS', 'знание']",1,Московская область,Россия,,,
SQL-разработчик,ООО АСТ ГОЗ,"['знание', 'XSLT', 'уверенное владение', 'PostgreSQL', 'SQL', 'XML']",1,Московская область,Россия,,,
Старший разработчик C/С++/Senior разработчик C/С++,ООО РДП Энтерпрайз,"['синхронизации', 'Linux', 'C', 'знание']",3,Московская область,Россия,,,
Разработчик 1С,ООО  DANTONE HOME,"['БП', 'знание', 'предприятие', '1С', '1С:Предприятие', 'корп']",3,Московская область,Россия,,,
C/C++ разработчик,ООО РостДжоб,"['языки', 'Обучение']",1,Московская область,Россия,,168000.0,
Backend-разработчик,Global Trads,"['PHP', 'знание', 'php 8+', 'уверенное владение', 'PostgreSQL', 'PHP 8', 'MySQL', 'Laravel', 'данных']",1,Московская область,Россия,,2450.0,
PHP-разработчик,ООО АСТ ГОЗ,"['Web', 'знание', 'IDE']",3,Московская область,Россия,,180000.0,
Fullstack-разработчик C#,Фонд развития промышленности,,3,Московская область,Россия,,,
Python AI разработчик,ООО ИЦ АЙ-ТЕКО,['it'],1,Московская область,Россия,,220000.0,
Java-разработчик (ОКТУС.ПАРУС),Сбер. IT,"['XML', 'JSON', 'Spring', 'Java']",1,Московская область,Россия,,,
Разработчик 1С,BORK,['1С'],3,Московская область,Россия,,,
Разработчик-исследователь AI/LLM,Газпромбанк,"['it', 'ds', 'Data', 'llm', 'Data Science']",1,Московская область,Россия,,,
Программист Linux,НАТЕКС,"['Unix', 'опыт программирования', 'Linux']",3,Московская область,Россия,,,
