firm_name,client_staff_count
Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,100 — 500
Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г. Москве,100 — 500
Филиал ФКУ «Налог-Сервис» ФНС России по ЦОД в г. Москве,100 — 500
Социальный фонд России,более 5000
Duolingo,менее 50
OZON: Старт карьеры,более 5000
Пятёрочка,более 5000
Контур,менее 50
Tesla,более 5000
Сhanel,менее 50
Добрый,более 5000
Disney,более 5000
"ОАО ""РЖД""",более 5000
Банк ВТБ (ПАО),более 5000
VK: Старт карьеры,более 5000
Группа Компаний РУСАГРО,1000 — 5000
Тануки,1000 — 5000
Союзцветметавтоматика им. Топчаева В. П.,100 — 500
Международный аэропорт Внуково,1000 — 5000
ВЕРТЕК,менее 50
Шанхай спецтехника,100 — 500
Черногорская ГРК,500 — 1000
АКС,1000 — 5000
Росжелдорпроект,1000 — 5000
М. Видео-Эльдорадо,более 5000
Свеза,более 5000
Союзснаб,1000 — 5000
Ювелирный дом Золотая Русь,500 — 1000
ИТ-Холдинг Т1,более 5000
ТК Наша игрушка,100 — 500
АНО ВО Санкт-Петербургская юридическая академия,50 — 100
Завод по переработке пластмасс ПЛАРУС,менее 50
Ростелеком,более 5000
"Магнит, Розничная сеть",более 5000
Henderson,1000 — 5000
Государственная библиотека,менее 50
Аэрофлот,менее 50
Точка банк,менее 50
Росатом,менее 50
Лаборатория Касперского,менее 50
Альфа-Банк: Старт карьеры,менее 50
МТС: СТАРТ КАРЬЕРЫ,менее 50
«НМИЦ ДГОИ им. Дмитрия Рогачева» Минздрава России,1000 — 5000
SuperJob,100 — 500
Президентская библиотека имени Б. Н. Ельцина,100 — 500
"ФГБНУ ""РНЦХ ИМ. АКАД. Б. В. ПЕТРОВСКОГО""",1000 — 5000
Netflix,менее 50
Волга,менее 50
РТРС,более 5000
"ФГУП ""ГосНИИАС""",1000 — 5000
ГК Русагро,1000 — 5000
Таттелеком,более 5000
Московский завод ФИЗПРИБОР,100 — 500
Setl Group,1000 — 5000
Т1,более 5000
Городская поликлиника №23 ДПО №21,менее 50
Росгосстрах,более 5000
ФГБОУ ВО Санкт-Петербургский государственный университет,более 5000
"СПб ГУП ""Горэлектротранс""",более 5000
ЦЕМРОС,более 5000
ГБУ ДПО ЦОПП СПб,50 — 100
М.Видео-Эльдорадо,более 5000
