id,id_region,id_country
4,46,1
14,41,1
13,50,1
33,65,1
12,22,1
73,60,1
56,8,1
55,92,1
106,75,1
17,52,1
5,36,1
173,80,1
130,4,1
422,105,1
119,57,1
42,20,1
89,18,1
495,108,1
146,63,1
25,3,1
638,36,1
347,94,1
162,1,1
141,25,1
90,73,1
72,78,1
783,32,1
47,53,1
217,61,1
70,5,1
401,56,1
168,71,1
782,92,1
20,42,1
172,12,1
383,95,1
402,77,1
87,11,1
391,14,1
397,99,1
390,10,1
398,15,1
2,49,1
381,90,1
88,17,1
392,19,1
384,84,1
388,96,1
122,24,1
60,88,1
99,27,1
127,29,1
399,32,1
228,33,1
370,34,1
26,37,1
400,38,1
382,93,1
394,44,1
882,26,1
376,79,1
372,82,1
125,47,1
378,83,1
34,54,1
142,86,1
393,30,1
35,58,1
380,89,1
426,112,1
312,66,1
389,7,1
251,87,1
245,68,1
373,28,1
91,69,1
19,70,1
377,81,1
212,97,1
379,91,1
403,76,1
386,85,1
396,64,1
387,98,1
4271,46,1
4145,66,1
4135,27,1
4830,38,1
4267,79,1
1836,95,1
2251,4,1
1386,71,1
4310,71,1
1350,53,1
5544,80,1
4157,80,1
1314,3,1
4715,22,1
4959,50,1
1873,3,1
3143,5,1
4107,28,1
3610,80,1
4625,46,1
4761,46,1
2339,41,1
1156,75,1
1270,80,1
409,76,1
4280,3,1
3490,3,1
1463,92,1
5202,3,1
2052,53,1
1494,3,1
3926,91,1
830,79,1
5391,85,1
1095,92,1
764,60,1
1081,52,1
3225,3,1
1161,87,1
3129,98,1
3598,92,1
3084,93,1
5644,80,1
2482,53,1
3696,108,1
4065,112,1
1004,60,1
5066,46,1
5603,80,1
4376,71,1
3699,76,1
2600,92,1
4513,84,1
2592,92,1
4427,46,1
4938,82,1
3189,76,1
2054,80,1
2176,46,1
4136,46,1
2110,90,1
3440,47,1
1247,65,1
1364,97,1
4753,25,1
1896,98,1
1064,1,1
4685,61,1
3320,7,1
2137,61,1
1074,17,1
2881,63,1
4502,84,1
4501,1,1
2800,18,1
2598,53,1
3566,60,1
4752,36,1
4756,63,1
1775,57,1
2547,64,1
4956,41,1
3190,76,1
2549,69,1
3513,7,1
1192,14,1
2543,36,1
5522,53,1
3583,80,1
4317,25,1
3449,18,1
2142,92,1
999,70,1
2233,25,1
3327,26,1
2594,97,1
3612,80,1
2511,94,1
2180,1,1
5141,83,1
1790,112,1
1426,112,1
3960,86,1
4408,12,1
354,113,1
3081,37,1
648,92,1
3702,76,1
5104,10,1
3694,105,1
3130,98,1
4220,8,1
1920,11,1
3123,99,1
740,8,1
780,3,1
2426,3,1
3934,60,1
1946,3,1
2966,8,1
674,25,1
3389,82,1
2322,28,1
2656,46,1
4577,17,1
4118,46,1
4259,66,1
5365,41,1
687,32,1
3410,64,1
2768,46,1
4604,22,1
1226,20,1
3212,19,1
4181,41,1
3795,17,1
4109,46,1
5148,41,1
3642,71,1
1427,113,1
2387,34,1
2960,5,1
4450,46,1
3711,60,1
1931,92,1
633,47,1
1476,46,1
1315,3,1
1515,65,1
2973,33,1
1976,75,1
5137,83,1
1699,96,1
2161,22,1
3651,89,1
1170,90,1
654,22,1
2620,7,1
2607,63,1
752,3,1
2371,71,1
1672,112,1
4909,80,1
2372,71,1
738,5,1
1891,92,1
5289,85,1
737,5,1
350,105,1
3673,113,1
1248,65,1
2855,65,1
5507,53,1
2718,3,1
2274,80,1
2219,10,1
1948,3,1
5551,53,1
3343,90,1
2758,91,1
5394,85,1
727,65,1
2484,53,1
1104,69,1
2294,80,1
2537,95,1
1595,80,1
3910,29,1
5130,83,1
4885,76,1
4521,32,1
3228,3,1
3872,46,1
3754,65,1
1122,63,1
4345,97,1
5623,80,1
3518,89,1
5044,83,1
2691,22,1
2421,3,1
3620,22,1
5331,96,1
1246,12,1
3383,82,1
2422,3,1
3255,7,1
5389,85,1
679,4,1
1701,96,1
915,75,1
5276,57,1
3746,46,1
5258,32,1
2915,46,1
4264,46,1
4054,8,1
4724,65,1
1197,19,1
3397,82,1
4154,41,1
1202,29,1
