title,link,address,company,short_description,rich_description,salary,skils
PHP Developer (PHP-разработчик),https://hh.ru/vacancy/131991887?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Tashkent, Amir Temur Avenue, 95A",ООО DIONYSOS,Excellent knowledge of PHP8+ and solid professional experience. Good experience with one or more frameworks such as Zend...,,"19 000 000 so'm за месяц, на руки",
1С Разработчик,https://hh.ru/vacancy/131972270?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Бишкек, улица Тоголок Молдо, 54А",ЗАО Азия Ритейл,"Высшее образование (желательно в сфере информационных технологий), уверенная техническая база. Опыт работы",,,
Разработчик,https://hh.ru/vacancy/131819443?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,"Русская Медиагруппа, радиохолдинг",Опыт работы,,,
Разработчик,https://hh.ru/vacancy/131986214?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Детский хоспис Дом с маяком,"Уверенное знание Python 3, базовых принципов ООП. — Понимание алгоритмов, структур данных, SQL, JSON, REST API. — Опыт работы с Git (GitHub...",,"от 95 000 ₽ за месяц, на руки",
Backend-разработчик,https://hh.ru/vacancy/131274910?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ГК СтиС,"2+ года коммерческой разработки на PHP 7.4+. Уверенный опыт с Laravel 7+ (Eloquent ORM, Query Builder...",,,
PHP разработчик,https://hh.ru/vacancy/132003516?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Тбилиси,Excdev,Необходимые знания: Опыт разработки на PHP от 2-х лет (5.x/7.x/8.x). Опыт работы с базами...,,,
Разработчик ЦФТ,https://hh.ru/vacancy/132003073?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Bell Integrator,Опыт работы с АБС «ЦФТ-Банк» в качестве,,,
C# разработчик,https://hh.ru/vacancy/119910832?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,STOMODOMO GROUP,Отличное знание C# и .NET 4.8+ (особенно Linq). Опыт работы с WPF или WinForms от 1 года.,,,
Разработчик C++,https://hh.ru/vacancy/132001730?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО БУЛАТ,"Опыт разработки или исправления/доработки внутренних подсистем Linux Kernel. Опыт разработки драйверов устройств для Linux (оптимизация, исправление ошибок и расширение...",,,
Unity-разработчик,https://hh.ru/vacancy/132001359?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Нектар,Отлично знаете C#. Знаете классические алгоритмы и структуры данных. Знаете и понимаете принципы ООП и можете их применять.,,"150 000 ₽ за месяц, до вычета налогов",
