title,hh_link,address,company,short_description,experience,salary
Менеджер по продажам (IT-оборудование).,https://hh.ru/vacancy/129513912?query=it&hhtmFrom=vacancy_search_list,"Москва, р-н Соколиная Гора",ООО КИТ-Р,Будет преимуществом успешный опыт в продажах ИТ (оборудования и/или ПО) от года. Ответственное отношение к работе и доведение до...,Опыт 1-3 года,"115 000 – 170 000 ₽ за месяц, на руки"
Юрист (IT),https://hh.ru/vacancy/131998320?query=it&hhtmFrom=vacancy_search_list,Москва,ООО БайтЭрг,...получение квалификации,Опыт 3-6 лет,
Менеджер проектов IT,https://hh.ru/vacancy/131276133?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Рускомтехнологии,Опыт работы в управлении проектами от. 2-3 лет в,Опыт 3-6 лет,
Аналитик IT,https://hh.ru/vacancy/131981579?query=it&hhtmFrom=vacancy_search_list,Москва,"Программный Продукт, ИТ-компания",Опыт написания проектной документации (ГОСТ). Опыт работы системным аналитиком в заказной разработке от 2-х лет. Опыт работы в проектах...,Опыт 1-3 года,
IT-разработчик,https://hh.ru/vacancy/131981063?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ИКС БИО ТЕХНОЛОДЖИ,"Речь идёт о создании гибкой и масштабируемой AI-инфраструктуры, способной усиливать ключевые бизнес-процессы и быстро адаптироваться под новые задачи.",Опыт 3-6 лет,
IT Project Manager,https://hh.ru/vacancy/132000350?query=it&hhtmFrom=vacancy_search_list,"село Павловская Слобода, улица Ленина, 85",ООО Мэйджор Карго Сервис,имеете опыт работы,Опыт 1-3 года,
Руководитель IT,https://hh.ru/vacancy/130962525?query=it&hhtmFrom=vacancy_search_list,Москва,Аванта,Опыт руководства,Опыт более 6 лет,
Директор отдела IT,https://hh.ru/vacancy/131996175?query=it&hhtmFrom=vacancy_search_list,"Алматы, проспект Аль-Фараби, 77/7","ТОО Кэпитал Тауэр Девелопмент (The Ritz-Carlton, Almaty)",Technology Leadership & Strategy.,Опыт 3-6 лет,"1 500 000 – 2 000 000 ₸ за месяц, до вычета налогов"
IT-менеджер (отель),https://hh.ru/vacancy/130536851?query=it&hhtmFrom=vacancy_search_list,Москва,ООО АРБАТ ХОСПИТАЛИТИ,"Высшее профессиональное (техническое) образование. Знание английского языка - большое преимущество. Знание и опыт настройки серверов, сетевого оборудования. Опыт работы с MS...",Опыт 3-6 лет,
Администратор IT проектов,https://hh.ru/vacancy/131098510?query=it&hhtmFrom=vacancy_search_list,Москва,АО Государственная транспортная лизинговая компания,"Опыт работы на аналогичных позициях от 3-х лет. Знание проектного менеджмента (методология, методы, инструменты). Опыт ведения документооборота, работа в...",Опыт 3-6 лет,
