title,hh_link,address,company,short_description,experience,salary
Продакт менеджер АКБ и ИБП,https://hh.ru/vacancy/131853955?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Москва,ООО АККУТРЭЙД ПЛЮС,"Высшее техническое образование (энергетика, электротехника - будет вашим преимуществом). Опыт работы",Опыт 3-6 лет,
Продакт-менеджер (FMCG / Пищевая промышленность),https://hh.ru/vacancy/131812148?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,"посёлок Полевой, Южная улица, 27с1",Averton Snack,"Опыт работы от 3 лет на позиции продукт-менеджера, предпочтительно в сфере FMCG (товары повседневного спроса) или пищевой промышленности.",Опыт 1-3 года,
Продакт-менеджер,https://hh.ru/vacancy/130373321?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Москва,ООО Фитокосметик,Хорошее понимание приоритетных потребительских свойств косметики и бытовой химии. Опыт работы,Опыт 3-6 лет,
Продакт-менеджер,https://hh.ru/vacancy/131093592?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,"Саранск, улица Васенко, 9",ОАО Саранский приборостроительный завод,"Высшее образование (техническое, экономическое). Опыт работы категорийным менеджером. Опыт продвижения технически сложной продукции. Знание 1С и CRM - Битрикс24.",Опыт 1-3 года,
AI продакт,https://hh.ru/vacancy/131213681?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Москва,Альфа-Банк. Центральный офис,"Высшее образование в области экономики/математики. Знание Python, SQL. Понимание мат. статистики, эконометрики, алгоритмов машинного обучения. Уровень владения английским языком...",Опыт 3-6 лет,
Продакт-менеджер,https://hh.ru/vacancy/131823508?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Москва,EUROTRADE GROUP,"Высшее образование (маркетинговое будет преимуществом). Интерес к категории бьюти и любовь к новинкам бьюти, насмотренность в категории. Аналитический склад ума...",Опыт 1-3 года,
Продакт-менеджер,https://hh.ru/vacancy/131208817?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО БИГ,Что нужно знать и уметь: - Опыт работы продукт-менеджером от 2-х лет (желательно с опытом в e-commerce). -,Опыт 1-3 года,
Продакт-менеджер,https://hh.ru/vacancy/131993024?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,"Саратов, р-н Волжский",UREMONT,"Знание законодательства РФ в части градостроительной деятельности, ЖКХ, контрактной системы. Понимание процедур получения разрешительной документации. Опыт взаимодействия с профильными госорганами...",Опыт 1-3 года,
Продакт-менеджер,https://hh.ru/vacancy/131992664?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Алматы,ТОО КФК Medservice Plus,Образование высшее. Опыт работы на аналогичной должности не менее 2 лет. Готовность к командировкам; до 10%. Пользование ПК (продвинутый). -,Опыт 3-6 лет,
Продакт-менеджер,https://hh.ru/vacancy/131542244?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Москва,Planta Rosa,"Опыт работы с полной ассортиментной линейкой - в категории ""одежда"" от 5 лет. Аналитические способности и умение работать с большим ассортиментом...",Опыт 3-6 лет,
Продакт-менеджер,https://hh.ru/vacancy/131216363?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,Новосибирск,ООО Атекс Групп,"Среднее профессиональное/высшее образование (медицинское, фармацевтическое, биологическое). Аналитические и презентационные навыки. Коммуникабельность, целеустремленность, организованность, активность.",Опыт 1-3 года,
Продакт-менеджер,https://hh.ru/vacancy/131983329?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,"Пенза, р-н Октябрьский",ООО ГИФТ,Опыт разработки и запуска продуктов в части упаковки. Опыт ведения и контроля проектов (запуска продуктов). Знания построения/создания дизайна упаковки...,Опыт 1-3 года,
Продакт-менеджер ВЭД,https://hh.ru/vacancy/131108034?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%BA%D1%82&hhtmFrom=vacancy_search_list,"Новомосковский административный округ, Киевское шоссе, 22-й километр, 6с1",ООО Акульчев,,Опыт 1-3 года,
