title,hh_link,address,company,short_description,experience,salary
Директор магазина,https://hh.ru/vacancy/131809969?query=it&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",Улыбка Радуги.IT,Любите и умеете общаться. Внимательны к людям и их проблемам. Знаете показатели эффективности магазина и умеете ими управлять.,Без опыта,"от 75 000 ₽ за месяц, до вычета налогов"
Ассистент отдела продаж,https://hh.ru/vacancy/131841714?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО КОГОРТА,Опыт работы в,Опыт 1-3 года,"до 100 000 ₽ за месяц, на руки"
IT Специалист,https://hh.ru/vacancy/129511099?query=it&hhtmFrom=vacancy_search_list,"Всеволожский район, промзона Уткина Заводь, 4к4",Tefal,Zabbix. VBA. MS Access. SQL. Базовые навыки написания скриптов. Английский язык базовый. Базовые навыки управления проектами. Сильные коммуникативные навыки. Ответственность.,Опыт 1-3 года,
Специалист IT,https://hh.ru/vacancy/131020871?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,"Знание принципов построения сетей передачи данных (стек TCP/IP, маршрутизация и коммутация). Опыт администрирования серверного оборудования на базе ОС Linux.",Опыт 1-3 года,
Руководитель IT отдела,https://hh.ru/vacancy/131274287?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Безопасный Город,"Знание и опыт работы с компонентами ИТ-сервисов на базе Windows, Linux. Знания серверного, телеком оборудования (линеек, вендоров, принципов работы).",Опыт 3-6 лет,"от 170 000 ₽ за месяц, на руки"
IT менеджер,https://hh.ru/vacancy/131978784?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Aston,"ИТ менеджер (Лидерская программа). Формула успеха: Прокачку всех ключевых навыков — от технических (SQL, аналитика) до управленческих. Наши требования к кандидату...",Без опыта,
Директор отдела IT,https://hh.ru/vacancy/131996176?query=it&hhtmFrom=vacancy_search_list,"Алматы, проспект Аль-Фараби, 77/7","ТОО Кэпитал Тауэр Девелопмент (The Ritz-Carlton, Almaty)",Technology Leadership & Strategy.,Опыт 3-6 лет,"1 500 000 – 2 000 000 ₸ за месяц, до вычета налогов"
Product Marketing Manager (IT),https://hh.ru/vacancy/131554152?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,WebMasters Russia,"В B2C маркетинге, предпочтительно в",Опыт 1-3 года,
Юрисконсульт IT / Юрист,https://hh.ru/vacancy/131994188?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ITG Corporation,"Сильные знания в области гражданского права, интеллектуальной собственности, законодательства о персональных данных, налогового законодательства, международного частного права. Навыки работы с...",Опыт 3-6 лет,
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131547110?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,The AnyLogic Company,Зоны ответственности: - Более 5 лет hands-on опыта с System Operations / DevOps. - Опыт руководства инженерными командами. - Опыт продуктовой разработки и...,Опыт более 6 лет,
IT-Мастер / Начинающий мастер ПК,https://hh.ru/vacancy/131438004?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Ок Комфорт-Сервис,,Без опыта,"от 140 000 ₽ за месяц, на руки"
Преподаватель IT в мини-группах,https://hh.ru/vacancy/131553040?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Онлайн-школа Тетрика,Опыт преподавания в мини-группах школьникам (7-15 лет). – Знание и опыт работы по направлениям: Scratch (обязательно) и Python. –,Опыт 1-3 года,
Специалист поддержки клиентов в IT компанию,https://hh.ru/vacancy/132004752?query=it&hhtmFrom=vacancy_search_list,Москва,ООО Хьюнет,Ты умеешь объяснять сложное простым и понятным языком. У тебя грамотная письменная речь. Ты готов ежедневно помогать клиентам.,Опыт 1-3 года,
Лид коммуникаций в IT-маркетинге,https://hh.ru/vacancy/132000075?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,JUG Ru Group,опыт работы в,Опыт 1-3 года,
Менеджер по продажам IT,https://hh.ru/vacancy/131988153?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,Опыт в B2B ( опыт в,Опыт 1-3 года,"от 170 000 ₽ за месяц, на руки"
Project Manager / Проджект менеджер IT / Менеджер IT-проекта,https://hh.ru/vacancy/131534217?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Визионеро,Имеете успешный опыт создания программно-аппаратных продуктов (в идеале - медоборудования или сложных решений). Имеете опыт разработки игровых приложений или механик...,Опыт 3-6 лет,"200 000 – 250 000 ₽ за месяц, на руки"
IT Аккаунт менеджер (Outstaff),https://hh.ru/vacancy/131980599?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Свердловский",Eclipse Digital,...ответственность за результат. Грамотная устная и письменная речь. Уверенное владение ПК. Опыт в,Опыт 1-3 года,
Sales-manager в IT-компанию,https://hh.ru/vacancy/129582950?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,М-СТАЙЛ,"ВЫСШЕЕ ОБРАЗОВАНИЕ. - активность, обучаемость и интерес к сфере продаж. - позитивный настрой, грамотная речь и желание зарабатывать.",Без опыта,"120 000 – 150 000 ₽ за месяц, на руки"
Менеджер проектов / Project manager (IT),https://hh.ru/vacancy/131199454?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Lasmart,Опыт от 3х лет в управлении,Опыт 3-6 лет,
"Менеджер по продажам (В2В, IT продукт)",https://hh.ru/vacancy/131716940?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Забусти (ООО Эффективное Продвижение),Имеет опыт в продажах от 3 лет. Понимает специфику работы Wildberries (обязательно). Работает на удаленке не менее 1 года (высокая...,Опыт 1-3 года,"160 000 – 230 000 ₽ за месяц, на руки"
Руководитель проектов Заказной разработки (IT-Project Manager),https://hh.ru/vacancy/130919466?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Первый Бит,"Опыт управления проектами разработки для внешнего заказчика. Опыт управления командами 10+ человек. Уверенное управление сроками, бюджетом и scope проекта.",Опыт 3-6 лет,
