title,link,address,company,short_description,rich_description,salary,skils
UX/UI-дизайнер,https://hh.ru/vacancy/129469701?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",,,
UX/UI-дизайнер,https://hh.ru/vacancy/130598243?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ГЛОБАЛ ПЭЙ,Опыт в финтехе. Наличие кейсов создания веб-интерфейсов и мобильных приложений.,,"от 200 000 ₽ за месяц, на руки",
UX/UI дизайнер,https://hh.ru/vacancy/131190556?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,TutorPlace,...,,"70 000 ₽ за месяц, на руки",
UX/UI дизайнер,https://hh.ru/vacancy/131668847?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Приморский",ООО Бизнес Технологии,"Навыки визуального дизайна: композиция, типографика, цвет, иконография. Понимание базовых принципов",,,
UX/UI Дизайнер,https://hh.ru/vacancy/131165807?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Скилла Работа,Опыт работы в,,"80 000 – 120 000 ₽ за месяц, на руки",
UX/UI дизайнер,https://hh.ru/vacancy/131930573?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,GS Labs,Имеете опыт участия в,,,
Дизайнер-универсал (Web-UX/UI дизайнер / Графический дизайнер),https://hh.ru/vacancy/131956804?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ВЕБИМ.РУ,Понимание принципов,,,
Веб-дизайнер,https://hh.ru/vacancy/131211722?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО СП.АРМ,Понимание принципов,,,
Middle UI/UX Designer,https://hh.ru/vacancy/131662189?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Эксбо Север,С опытом коммерческой работы,,,
Senior UX/UI-дизайнер,https://hh.ru/vacancy/131579239?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Хьюнет,1. Был опыт создания дизайн систем с нуля. 2. Вы знаете принципы консистентности и можете легко построить дизайн мобайл-веб...,,,
