title,hh_link,address,company,short_description,experience,salary
UX/UI-дизайнер,https://hh.ru/vacancy/129469701?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/129748245?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Екатеринбург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",Опыт 1-3 года,
UX/UI-дизайнер,https://hh.ru/vacancy/129469700?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",Опыт 1-3 года,
Графический дизайнер,https://hh.ru/vacancy/131879441?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Ташкент,ООО SILVER-PLAST,"Опыт работы на ПО Adobe, Corel, Microsoft Office.",Опыт 1-3 года,"4 000 000 – 5 000 000 so'm за месяц, на руки"
Графический дизайнер,https://hh.ru/vacancy/131817031?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Алматы,ТОО Combination (RA Kombinat),Работа с видеоформатами (или готовность развиваться в этом направлении). Требования: Опыт работы,Опыт 3-6 лет,"450 000 – 650 000 ₸ за месяц, на руки"
Веб-дизайнер,https://hh.ru/vacancy/132003367?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Тула, р-н Советский",Самолет Плюс (ООО Полипластгрупп),Опыт работы,Опыт 1-3 года,"от 50 000 ₽ за месяц, до вычета налогов"
Веб-дизайнер,https://hh.ru/vacancy/131211722?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО СП.АРМ,Высшее образование в сфере дизайна. -Профессиональный опыт работы в роли web-,Опыт 1-3 года,
Веб-дизайнер,https://hh.ru/vacancy/131815982?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Эксбо Север,С опытом работы,Опыт 1-3 года,
Веб-дизайнер / графический дизайнер,https://hh.ru/vacancy/132000913?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Владимир, р-н Октябрьский",ООО Нильс,"Релевантный опыт от 3-х лет. Владение программами Adobe, Figma. Навыки работы с нейросетями (обязательно). Умение работать в команде.",Опыт 3-6 лет,"от 100 000 ₽ за месяц, до вычета налогов"
Веб-дизайнер / графический дизайнер,https://hh.ru/vacancy/132000875?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Владимир, р-н Октябрьский",ООО Нильс,"Релевантный опыт от 3-х лет. Владение программами Adobe, Figma. Навыки работы с нейросетями (обязательно). Умение работать в команде.",Опыт 3-6 лет,"от 100 000 ₽ за месяц, до вычета налогов"
Веб-дизайнер,https://hh.ru/vacancy/131696772?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,АО Инмолл,"Опыт работы с дизайн-системами и токенизацией (Design Tokens, Atomic Design). Понимание основ юзабилити-тестирования и способность проводить быстрые валидации...",Опыт 3-6 лет,
Веб-дизайнер (Tilda / Figma),https://hh.ru/vacancy/131276129?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Рускомтехнологии,Способность четко соблюдать дедлайны. Скорость и ответственность при решении срочных задач. Понимание принципов,Опыт 1-3 года,
Продуктовый дизайнер (веб),https://hh.ru/vacancy/132000832?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,"ПАО Банк ПСБ, Бизнес и инфраструктура","Понимание принципов юзабилити и паттернов проектирования (Material Design, HIG). Умение строить user flow, customer journey map, information architecture.",Опыт 3-6 лет,
Веб-дизайнер,https://hh.ru/vacancy/131763139?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Ташкент, улица Богишамол, 260А",ООО INNASOFT DIGITAL SERVICE,"Обязательный опыт работы над дизайном маркетплейсов и понимание всех его нюансов. Креативность, находчивость и внимание к деталям в разработке интерфейсов.",Опыт 3-6 лет,"от 10 000 000 so'm за месяц, до вычета налогов"
Старший дизайнер / Веб-дизайнер,https://hh.ru/vacancy/131704060?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Anecole,Навыки интеграций сайтов с различными сервисами аналитики. Навыки базовой SEO-оптимизации. Опыт работы от 3-х лет с Tilda (подтвержденное...,Опыт 1-3 года,"от 110 000 ₽ за месяц, на руки"
Senior UX/UI дизайнер/Веб-дизайнер,https://hh.ru/vacancy/131830563?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,BYTIME,...UX/UI,Опыт более 6 лет,
Веб-дизайнер,https://hh.ru/vacancy/131628121?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Хабаровск, р-н Кировский",ООО Стандарт,Опыт работы,Опыт 1-3 года,"65 000 – 80 000 ₽ за месяц, на руки"
Графический дизайнер / Веб-дизайнер / Дизайнер в онлайн-школу / UI-дизайнер,https://hh.ru/vacancy/131274949?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,BIRCH,Опыт,Опыт 1-3 года,"от 80 000 ₽ за месяц, на руки"
Веб-дизайнер в отдел маркетинга,https://hh.ru/vacancy/131714866?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Центр качества образования,Опыт работы,Опыт 3-6 лет,
Веб-дизайнер (IT проект),https://hh.ru/vacancy/131248998?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Казань, р-н Вахитовский",ООО Оператор Информационных Систем,Опыт работы,Опыт 3-6 лет,"70 000 – 80 000 ₽ за месяц, на руки"
Дизайнер,https://hh.ru/vacancy/131712971?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Эволют Клаб,"Опыт адаптивных макетов и гайдлайнов для iOS/Android/web. Гибкость мышления, готовность к неопределённости и быстрому росту. Готовность работать удалённо...",Опыт 1-3 года,"60 000 – 70 000 ₽ за месяц, на руки"
