title,link,address,company,short_description,rich_description,salary,skils
Разработчик,https://hh.ru/vacancy/131819443?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,"Русская Медиагруппа, радиохолдинг",Опыт работы,,,
Разработчик,https://hh.ru/vacancy/131986214?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Детский хоспис Дом с маяком,"Уверенное знание Python 3, базовых принципов ООП. — Понимание алгоритмов, структур данных, SQL, JSON, REST API. — Опыт работы с Git (GitHub...",,"от 95 000 ₽ за месяц, на руки",
Backend-разработчик,https://hh.ru/vacancy/131274910?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ГК СтиС,"2+ года коммерческой разработки на PHP 7.4+. Уверенный опыт с Laravel 7+ (Eloquent ORM, Query Builder...",,,
Разработчик ЦФТ,https://hh.ru/vacancy/132003073?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Bell Integrator,Опыт работы с АБС «ЦФТ-Банк» в качестве,,,
Разработчик C++,https://hh.ru/vacancy/132001730?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО БУЛАТ,"Опыт разработки или исправления/доработки внутренних подсистем Linux Kernel. Опыт разработки драйверов устройств для Linux (оптимизация, исправление ошибок и расширение...",,,
Unity-разработчик,https://hh.ru/vacancy/132001359?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Нектар,Отлично знаете C#. Знаете классические алгоритмы и структуры данных. Знаете и понимаете принципы ООП и можете их применять.,,"150 000 ₽ за месяц, до вычета налогов",
PHP-разработчик,https://hh.ru/vacancy/132001172?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Басманный",Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,"Основы веб-технологий: HTML, CSS, JavaScript (особенно при работе в команде с фронтенд-",,,
Python-разработчик,https://hh.ru/vacancy/132001149?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Басманный",Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,"Знание SQL. * оконные функции. * хранимые процедуры, функции. * партиционирование. * оптимизация запросов. * агрегатные функции. * вложенные запросы. Знание Python. * pandas. Опыт работы: - Airflow. -",,,
Golang-разработчик,https://hh.ru/vacancy/132000480?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,BI.ZONE Направление Разработка,"Опыт разработки высоконагруженных систем на языке Go от 3-х лет. Знания сетевых протоколов: HTTP/HTTPS, TLS, HTTP/2/3...",,,
Разработчик C#,https://hh.ru/vacancy/131998544?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ГКУ Инфогород,Опыт работы с брокерами сообщений (Kafka / NATS / RabbitMQ). Опыт работы с Kubernetes. Опыт настройки CI/CD в GitLab.,,,
Разработчик Java,https://hh.ru/vacancy/131998323?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Дорогомилово",Data World,"Опыт разработки на Java от 3 лет, знание Spring Boot, PostgreSQL. Умение работать с xml, xsd. Умение читать чужой код.",,,
Методист-разработчик,https://hh.ru/vacancy/131712016?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Термика,Навыком донесения собственных мыслей: умеете объяснять технические ограничения,,,
Ruby-разработчик,https://hh.ru/vacancy/131268063?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,АО Флант,"Ruby 3.4+, Rails 7.1+, Sidekiq, PostgreSQL. ViewComponent + Hotwire + Stimulus + Tailwind для фронтенда.",,,
Backend-разработчик,https://hh.ru/vacancy/131267909?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Инженерный центр Автоматизированные системы контроля,"Python3, FastApi, (Django опционально) Postgresql, SQL, Docker, Git.",,,
SQL-разработчик,https://hh.ru/vacancy/131997579?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,IT_One,"Опыт работы в ИТ-подразделении банка, финансовой, ИТ или консалтинговой организации на банковских проектах. Опыт в проектах реализации Web приложений...",,,
Ведущий разработчик,https://hh.ru/vacancy/131266786?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,БИТ,"Владение PL/pgSQL (PostgreSQL) и/или t-sql (MS SQL Server) и/или pl-sql (ORACLE). Обязательно знать HTML, javascript...",,"от 200 000 ₽ за месяц, на руки",
Младший разработчик,https://hh.ru/vacancy/131996659?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Инфосистемы Джет,Более 500 экспертов с отраслевым опытом. ТОП-3 ИБ-интеграторов по версии CNews Analytics. Собственная ежегодная конференция ИБ - Jet Security...,,,
Разработчик DWH,https://hh.ru/vacancy/131996404?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Даниловский",ООО Абсолют Страхование,Высшее техническое образование (ИТ / прикладная математика / системный анализ). Опыт разработки DWH от 3+ лет. Опыт проектирования хранилищ данных (staging...,,,
RTL-разработчик,https://hh.ru/vacancy/131996400?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО Трамплин Электроникс,Высшее техническое образование. Опыт разработки RTL (register transfer level) от 3 лет. Наличие законченных проектов. Знание Verilog/SystemVerilog.,,"от 200 000 ₽ за месяц, на руки",
Повар-разработчик,https://hh.ru/vacancy/131546562?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО ПРОМЫШЛЕННАЯ КУЛИНАРИЯ,Наличие профессиональных навыков повара. Понимание технологических процессов приготовления. Интерес к разработке продуктов и вкусовым решениям. Умение работать в команде.,,"от 120 000 ₽ за месяц, на руки",
Старший разработчик Linux,https://hh.ru/vacancy/130542946?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО РДП Энтерпрайз,"Отличное знание Linux (архитектура, сборка и администрирование). Знание систем сборки Embedded Linux (Buildroot/Yocto). Опыт разработки на C/С++ от...",,,
Android-разработчик,https://hh.ru/vacancy/131993809?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,ООО КСОР,Опыт коммерческой разработки под Android не менее 3-х лет. Уверенное владение Kotlin и Android SDK. Практический опыт работы с...,,,
Разработчик (Scala),https://hh.ru/vacancy/131993927?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Москва, р-н Красносельский",Онлайнтурс,"Уверенные знания Scala и подходов функционального программирования. Опыт проектирования и разработки архитектуры сервисов с асинхронным взаимодействием. Уверенное владение SQL, а...",,,
Python разработчик,https://hh.ru/vacancy/131993423?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Сбер. IT,Опыт коммерческой разработки на Python от 3 лет. Хорошее знание FastAPI / Flask / Django REST Framework. Опыт работы с SQL и...,,,
C++ разработчик (RuBackup),https://hh.ru/vacancy/131100968?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Группа компаний Астра,"Хорошее знание С++11 и выше, STL, boost, git. Опыт работы с базами данных, знание SQL. Опыт разработки многопоточных клиент...",,,
Python-разработчик,https://hh.ru/vacancy/131215001?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Москва,Сбер. IT,"Разработка на Python более 6 лет. Хорошие знания асинхронной и мультипоточной разработки. Знания работы сетевых протоколов, отличия TCP/UDP/ICMP...",,,
