title,link,address,company,short_description,rich_description,salary,skils
"Руководитель разработки/ Tech lead web (PHP, Laravel)",https://hh.ru/vacancy/131113989?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,НОНТОН,Хорошие знания Elasticsearch. Реальный опыт работы с Highload проектами. Опыт разработки продуктов в e-com. Богатый опыт с внешними интеграциями.,,,
C# разработчик,https://hh.ru/vacancy/119910832?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,STOMODOMO GROUP,Отличное знание C# и .NET 4.8+ (особенно Linq). Опыт работы с WPF или WinForms от 1 года.,,,
Fullstack-разработчик,https://hh.ru/vacancy/132001093?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Деловой партнёр,Высшее образование по направлению ИТ. Практический опыт коммерческой fullstack-разработки от 3 лет. Опыт создания веб- и/или мобильных приложений...,,,
Разработчик C#,https://hh.ru/vacancy/131140250?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Элисофт,"Понимание ООП и паттернов проектирования. Уверенное владение C# и .NET9. Опыт разработки многопоточных приложений. Опыт работы с RabbitMQ, Redis...",,,
Fullstack-разработчик,https://hh.ru/vacancy/131209963?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО МиАТел,Опыт full-stack разработки (backend + frontend). Уверенное понимание REST API и клиент-серверной архитектуры. Навыки проектирования архитектуры систем.,,,
Golang-разработчик,https://hh.ru/vacancy/131545765?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Red Digital,Умение переводить понимать как бизнес-требование (бизнес-функционал) транслируется в код. Опыт работы с многопоточностью. Знание алгоритмов. Знание языков программирования...,,,
Frontend-разработчик,https://hh.ru/vacancy/131793550?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Деловой партнёр,Высшее образование по направлению ИТ (обязательно). Практический опыт frontend-разработки от 3 лет. Опыт создания веб- и мобильных приложений.,,,
Python разработчик,https://hh.ru/vacancy/131993346?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,Сбер. IT,Опыт коммерческой разработки на Python от 3 лет. Хорошее знание FastAPI / Flask / Django REST Framework. Опыт работы с SQL и...,,,
Junior-разработчик,https://hh.ru/vacancy/131821741?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Бизнес Технологии,"Высшее образование в области Computer Science (готовы рассмотреть 2 курс магистратуры). Понимание принципов структурного программирования, желательно теории реляционных баз данных.",,"60 000 – 70 000 ₽ за месяц, на руки",
Backend-разработчик,https://hh.ru/vacancy/131992341?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Елабужский район, Особая экономическая зона Алабуга",Алабуга. Служба стратегического развития,"Опыт от 3-х лет коммерческой разработки. Глубокие знания Python, включая асинхронное программирование (asyncio, aiohttp). Глубокое понимание и опыт применения...",,"от 157 500 ₽ за месяц, до вычета налогов",
Разработчик C++,https://hh.ru/vacancy/131540030?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ИКС ЛАБЗ,"...в целом (производительность, стабильность). Навыки оценки задач и соблюдения сроков. Опыт написания и поддержки технической документации. Готовность помогать junior-",,"150 000 – 200 000 ₽ за месяц, на руки",
C# разработчик (web),https://hh.ru/vacancy/113880112?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,STOMODOMO GROUP,Отличное знание C# и .NET 4.8+ (особенно Linq). Отличное знание SQL. Опыт разработки коммерческого ПО на C# от...,,,
Java-разработчик,https://hh.ru/vacancy/131699278?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Петроградский",ООО ТелеСистемы Сервис,3+ года опыта в роли Java-,,,
Frontend-разработчик,https://hh.ru/vacancy/131983576?query=%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Санкт-Петербург,"СтарЛайн, Научно-производственное объединение","Опыт работы от 2 лет. Хорошее знание JavaScript/TypeScript. React, React-Native, MobX. Знание HTML5/CSS3, уверенные навыки...",,,
