title,link,address,company,short_description,rich_description,salary
IT - специалист,https://hh.ru/vacancy/131936448?query=it&hhtmFrom=vacancy_search_list,"Ташкент, Янгихаётский район, махаллинский сход граждан Хужа Учкун, улица Истикбол, 34",СП ООО SAMIST AUTO,Имеет опыт работы,,
IT-рекрутер в компанию,https://hh.ru/vacancy/131053198?query=it&hhtmFrom=vacancy_search_list,Астана,ТОО Smart Commerce Kazakhstan,...если в,,
IT-рекрутер,https://hh.ru/vacancy/131806585?query=it&hhtmFrom=vacancy_search_list,"Ташкент, Чиланзарский район, проспект Бунёдкор, 40/1",ООО BITO,"Коммуникация и продажи: Умение «продать» вакансию специалисту, который не ищет работу (холодные контакты), вести переговоры, обрабатывать возражения и поддерживать дружелюбный...",,
IT Специалист,https://hh.ru/vacancy/129511099?query=it&hhtmFrom=vacancy_search_list,"Всеволожский район, промзона Уткина Заводь, 4к4",Tefal,Zabbix. VBA. MS Access. SQL. Базовые навыки написания скриптов. Английский язык базовый. Базовые навыки управления проектами. Сильные коммуникативные навыки. Ответственность.,,
IT-рекрутер,https://hh.ru/vacancy/131258707?query=it&hhtmFrom=vacancy_search_list,"Алматы, улица Абдуллы Розыбакиева, 263",ТОО My Startups,Опыт в подборе,,
IT специалист,https://hh.ru/vacancy/131203538?query=it&hhtmFrom=vacancy_search_list,"Тула, р-н Привокзальный",ООО СтарСити,"Опыт работы в технической поддержке или на аналогичной позиции от 1 года. Знание операционных систем Windows, базовые навыки работы с...",,
IT-специалист,https://hh.ru/vacancy/131987946?query=it&hhtmFrom=vacancy_search_list,"Алматы, улица Ратушного, 74А",ТОО Аяла Плюс,Внимательность и ответственность при работе с оборудованием. Навыки поиска и устранения неисправностей «на месте». Знания подсистемы Агент-Плюс приветствуется.,,
IT Специалист,https://hh.ru/vacancy/131986479?query=it&hhtmFrom=vacancy_search_list,"Ташкент, 1-й проезд Рохат",ООО GLOBAL TEXTILE SOLUTIONS,Опыт работы 1-3 года в,,
Специалист IT,https://hh.ru/vacancy/131020871?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ПРОТЕЙ ТЛ,"Знание принципов построения сетей передачи данных (стек TCP/IP, маршрутизация и коммутация). Опыт администрирования серверного оборудования на базе ОС Linux.",,
Помощник IT,https://hh.ru/vacancy/131984890?query=it&hhtmFrom=vacancy_search_list,"Сергиев Посад, проспект Красной Армии, 2А",ООО Научно - Инновационный Институт Профессиональной Переподготовки и Повышения Квалификации,выстроить,,
IT-специалист,https://hh.ru/vacancy/131812882?query=it&hhtmFrom=vacancy_search_list,Казань,ООО Ремик,"Грамотная письменная и устная речь. Ответственность, исполнительность, готовность учиться новому. Активность, целеустремленность, желание развиваться в",,
Аналитик IT,https://hh.ru/vacancy/131981579?query=it&hhtmFrom=vacancy_search_list,Москва,"Программный Продукт, ИТ-компания",Опыт написания проектной документации (ГОСТ). Опыт работы системным аналитиком в заказной разработке от 2-х лет. Опыт работы в проектах...,,
IT-разработчик,https://hh.ru/vacancy/131981063?query=it&hhtmFrom=vacancy_search_list,Москва,ООО ИКС БИО ТЕХНОЛОДЖИ,"Речь идёт о создании гибкой и масштабируемой AI-инфраструктуры, способной усиливать ключевые бизнес-процессы и быстро адаптироваться под новые задачи.",,
Специалист IT,https://hh.ru/vacancy/131980658?query=it&hhtmFrom=vacancy_search_list,"Ташкент, Сергелийский район",ИП OOO FoamLine Vostok,Опыт поддержки пользователей в корпоративной среде. Знание клиентской платформы Microsoft Windows (Windows 10) и принципов работы Microsoft Active Directory.,,
Руководитель IT,https://hh.ru/vacancy/130692597?query=it&hhtmFrom=vacancy_search_list,Королёв,ООО Управляющая Нефтяная Компания,Высшее техническое образование. Опыт работы на руководящих должностях в ИТ отрасли. Глубокое понимание и опыт работы с разными информационными системами...,,
IT менеджер,https://hh.ru/vacancy/131978784?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,Aston,"ИТ менеджер (Лидерская программа). Формула успеха: Прокачку всех ключевых навыков — от технических (SQL, аналитика) до управленческих. Наши требования к кандидату...",,
IT инженер,https://hh.ru/vacancy/131977133?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux или желание переобучиться с Windows на Linux. Опыт в аналогичной сфере не менее...,,
IT инженер,https://hh.ru/vacancy/131977134?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux или желание переобучиться с Windows на Linux. Опыт в аналогичной сфере не менее...,,
IT инженер,https://hh.ru/vacancy/131977135?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux или желание переобучиться с Windows на Linux. Опыт в аналогичной сфере не менее...,,
Юрисконсульт IT / Юрист,https://hh.ru/vacancy/131994188?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ITG Corporation,"Сильные знания в области гражданского права, интеллектуальной собственности, законодательства о персональных данных, налогового законодательства, международного частного права. Навыки работы с...",,
IT инженер,https://hh.ru/vacancy/131976155?query=it&hhtmFrom=vacancy_search_list,Ханты-Мансийский автономный округ — Югра,ЭйчарОсы,Среднее или высшее техническое образование. Знание Linux или желание переобучиться с Windows на Linux. Опыт в аналогичной сфере не менее...,,
Администратор IT проектов,https://hh.ru/vacancy/131098510?query=it&hhtmFrom=vacancy_search_list,Москва,АО Государственная транспортная лизинговая компания,"Опыт работы на аналогичных позициях от 3-х лет. Знание проектного менеджмента (методология, методы, инструменты). Опыт ведения документооборота, работа в...",,
Руководитель IT,https://hh.ru/vacancy/130962525?query=it&hhtmFrom=vacancy_search_list,Москва,Аванта,Опыт руководства,,
IT специалист,https://hh.ru/vacancy/131974680?query=it&hhtmFrom=vacancy_search_list,"Нукус, автомагистраль Нукус - Турткул, 1/2",ООО AKFA BUILDING MATERIALS. ИТ и SAP,Среднее специальное или высшее образование (,,
Технический специалист (IT),https://hh.ru/vacancy/131260491?query=it&hhtmFrom=vacancy_search_list,Алматы,Sulpak,Опыт не нужен — всему научим с нуля. Чем будешь заниматься: Если есть опыт или образование в,,
Техник монтажник (it),https://hh.ru/vacancy/131821402?query=it&hhtmFrom=vacancy_search_list,Усть-Каменогорск,ТОО Сей-Нар,"Средне-специальное техническое профильное образование. Грамотная речь, вежливость и пунктуальность, управление конфликтами, навыки общения с простыми пользователями. Обучаемость, умение работать...",,
Аналитик IT,https://hh.ru/vacancy/131973481?query=it&hhtmFrom=vacancy_search_list,"Петрозаводск, Московская улица, 16",ГБУЗ Республики Карелия Республиканский медицинский информационно-аналитический центр,Знание систем управления базами данных. Уверенное владение SQL. Навыки фомирования выборки данных по сложным критериям. Опыт работы с реляционными СУБД.,,
IT-специалист,https://hh.ru/vacancy/131186392?query=it&hhtmFrom=vacancy_search_list,"Актау, микрорайон 3Б, 55/1",ТОО ADVER.KZ,"Администрирование сетевого оборудования Mikrotik. Отличное понимание модели OSI и TCP/IP. Маршрутизация: static routes. Коммутация: VLAN, trunk. NAT. DHCP, DNS.",,
Руководитель IT отдела,https://hh.ru/vacancy/128866673?query=it&hhtmFrom=vacancy_search_list,Москва,ООО КомСтрой,"Высшее образование. Опыт работы системным администратором не менее 5 лет, в должности руководителя отдела/группы от 2х лет.",,
Спикер направления IT,https://hh.ru/vacancy/131987706?query=it&hhtmFrom=vacancy_search_list,Москва,Ventra,"География: Россия, Казахстан, Узбекистан, Беларусь. Публичность внутри крупного",,
Руководитель отдела IT,https://hh.ru/vacancy/131986522?query=it&hhtmFrom=vacancy_search_list,"Пермь, р-н Дзержинский",Автомобильный холдинг Экскурс,...практик организации,,
Менеджер IT проектов,https://hh.ru/vacancy/131986493?query=it&hhtmFrom=vacancy_search_list,Москва,ООО PepsiCo,"Опыт работы в управлении проектами более 3 лет, предпочтительно в сфере ИТ, digital или transformation. Опыт реализации региональных проектов, включая...",,
IT-рекрутер (Gamedev),https://hh.ru/vacancy/131699547?query=it&hhtmFrom=vacancy_search_list,Минск,Леста Игры,"Опыт рекрутинга в геймдеве не менее 3 лет (работа со стримами арт / разработка / инфраструктура). Умение приоритизировать и структурировать задачи, эффективно...",,
Специалист группы IT,https://hh.ru/vacancy/131983733?query=it&hhtmFrom=vacancy_search_list,"Уфа, р-н Орджоникидзевский",Филиал ПАО АНК Башнефть Башнефть-УНПЗ,"Высшее профессиональное (техническое), среднее профессиональное образование. С высшим профессиональным образованием без предъявления требований к стажу. Со средним профессиональным образованием, опыт...",,
Financial Controller (IT Company),https://hh.ru/vacancy/131090734?query=it&hhtmFrom=vacancy_search_list,Москва,АИМОР,"Самостоятельность, системное мышление и способность работать с большим объёмом данных. Опыт работы в",,
Менеджер IT-проектов,https://hh.ru/vacancy/131534574?query=it&hhtmFrom=vacancy_search_list,Москва,АНО ЦИСМ,Опыт от 2-х лет в управлении,,
Начинающий специалист IT,https://hh.ru/vacancy/131870428?query=it&hhtmFrom=vacancy_search_list,"Ижевск, р-н Октябрьский",ООО Центр Информационных Технологий БАРС,Выпускника или так же студента последних курсов с профильным,,
"PR-специалист (IT, финтех)",https://hh.ru/vacancy/131543131?query=it&hhtmFrom=vacancy_search_list,Москва,Маслов : агентство,Опыт работы от 6 месяцев на позиции PR-специалиста. Знания английского не ниже Intermediate. Грамотный и качественный копирайтинг: умение хорошо...,,
IT manager/Системный администратор,https://hh.ru/vacancy/131872358?query=it&hhtmFrom=vacancy_search_list,"Астана, проспект Мангилик Ел, B1",Alem.ai Foundation,"Hard skills: Networking (TCP/IP, VLAN, WiFi). MacOS / Windows / Linux. MDM (Mosyle / Jamf / Intune). Scripting (bash / python). Базовый cloud (Google...",,
Руководитель отдела IT,https://hh.ru/vacancy/129770833?query=it&hhtmFrom=vacancy_search_list,"Липецк, р-н Правобережный",ООО ККМ.ЦЕНТР,"Уверенное знание ОС Windows, Windows Server и прикладных программ. Опыт руководства отделом от 1 года ОБЯЗАТЕЛЕН. Самостоятельность, ответственность, пунктуальность.",,
Системный администратор / IT-инженер,https://hh.ru/vacancy/131817931?query=it&hhtmFrom=vacancy_search_list,"Старая Купавна, Дорожная улица, 12Кс1",ООО Эс Джи Эс,Работа с DNS и доменными зонами. -SSL-сертификаты. -Имеет опыт системного администрирования от 3 лет. -Работал с 1С на...,,
Менеджер по продажам IT,https://hh.ru/vacancy/131988153?query=it&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЮМА-Девелопмент,Опыт в B2B ( опыт в,,
Системный администратор/Специалист IT,https://hh.ru/vacancy/131987867?query=it&hhtmFrom=vacancy_search_list,"Улан-Удэ, улица Чертенкова, 71","СНС, Группа компаний","Образование не ниже среднего профессионального. Администрирование: MS Windows (2003,2008, XP)/MS Office/1С 8.1/MS SQL (поддержка...",,
Технический специалист (IT),https://hh.ru/vacancy/131973768?query=it&hhtmFrom=vacancy_search_list,"Усть-Каменогорск, улица Казахстан, 62",Sulpak,Опыт не нужен — всему научим с нуля. Чем будешь заниматься: Если есть опыт или образование в,,
Руководитель отдела IT-инфраструктуры,https://hh.ru/vacancy/131254569?query=it&hhtmFrom=vacancy_search_list,Москва,efin,Глубокое понимание архитектуры корпоративной,,
