title,link,address,company,short_description,rich_description,salary,skils
UX/UI-дизайнер,https://hh.ru/vacancy/129469701?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",,,
UX/UI-дизайнер,https://hh.ru/vacancy/129748245?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Екатеринбург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",,,
UX/UI-дизайнер,https://hh.ru/vacancy/129469700?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",,,
Графический дизайнер,https://hh.ru/vacancy/131821977?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Астана, проспект Абая, 33","Академия государственного управления, РГКП",Наличие портфолио (обязательно). Будет плюсом: Владение Figma. Опыт работы с,,,
UX/UI-дизайнер,https://hh.ru/vacancy/131394355?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,АО Сараффан.Радио,"Опыт работы с дизайн-системами. Опыт разработки веб и мобильных интерфейсов. Понимание и опыт работы с адаптивным вебом, pwa решениями.",,"200 000 – 250 000 ₽ за месяц, на руки",
UX/UI-дизайнер,https://hh.ru/vacancy/131713312?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"село Богородка, улица Казахстан",ITACWT,"Ключевые навыки: - Опыт в дизайне веб-страниц, дашбордов и пользовательских интерфейсов функций. - Отличное владение Figma (компоненты, прототипирование, дизайн-системы). -",,"1 300 – 1 600 $ за месяц, до вычета налогов",
UX/UI-дизайнер,https://hh.ru/vacancy/130598243?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ГЛОБАЛ ПЭЙ,Опыт в финтехе. Наличие кейсов создания веб-интерфейсов и мобильных приложений.,,"от 200 000 ₽ за месяц, на руки",
UX/UI-дизайнер,https://hh.ru/vacancy/131709344?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Премиум Кеа Груп,Опыт работы,,,
UX/UI-дизайнер,https://hh.ru/vacancy/131993898?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,ООО Твоё Лайв,"Практический опыт работы на веб-проектах. – Владение Figma, Photoshop, Illustrator. – Знания основ верстки, типографики и композиции. – Умение создавать интуитивно понятные...",,"85 000 – 100 000 ₽ за месяц, на руки",
UX/UI дизайнер | Графический дизайнер,https://hh.ru/vacancy/131551597?query=ui+ux+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Москва,DCUT,Опыт работы,,,
