title,link,address,company,short_description,rich_description,salary,skils
UX/UI-дизайнер,https://hh.ru/vacancy/129469701?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Яндекс Крауд: Контент,"Работали с внутренними продуктами и внутренними пользователями, проектировали сервисы внутри больших экосистем. Понимаете, какие бывают исследования, и можете применять их...",,,
Веб-дизайнер,https://hh.ru/vacancy/131211722?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ЗАО СП.АРМ,Высшее образование в сфере дизайна. -Профессиональный опыт работы в роли web-,,,
Веб-дизайнер,https://hh.ru/vacancy/131815982?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Санкт-Петербург, р-н Центральный",ООО Эксбо Север,С опытом работы,,,
Веб-дизайнер / графический дизайнер,https://hh.ru/vacancy/132000913?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,"Владимир, р-н Октябрьский",ООО Нильс,"Релевантный опыт от 3-х лет. Владение программами Adobe, Figma. Навыки работы с нейросетями (обязательно). Умение работать в команде.",,"от 100 000 ₽ за месяц, до вычета налогов",
Веб-дизайнер,https://hh.ru/vacancy/131954741?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ТАО,...опыт,,,
Digital-дизайнер / Мультидизайнер,https://hh.ru/vacancy/132000255?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Фотосклад.ру,Опыт работы мультидисциплинарным,,,
UX/UI-дизайнер,https://hh.ru/vacancy/130598243?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ГЛОБАЛ ПЭЙ,Опыт в финтехе. Наличие кейсов создания,,"от 200 000 ₽ за месяц, на руки",
Дизайнер в онлайн - школу,https://hh.ru/vacancy/131546180?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО Матита,"Уверенно владеет конструктором сайтов ""Tilda"", опыт создания лендингов от 1 года. Свободно использует Zero Block, анимацию. Уверенно владеет Adobe Photoshop...",,"до 60 000 ₽ за месяц, до вычета налогов",
UX/UI дизайнер,https://hh.ru/vacancy/131190556?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,TutorPlace,Понимание принципов UX-дизайна и современных UI-паттернов. Наличие портфолио с,,"70 000 ₽ за месяц, на руки",
Веб-дизайнер,https://hh.ru/vacancy/131843228?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Самара,ИП Лыкова Анастасия Александровна,Опыт: от 2–3 лет в,,"от 50 000 ₽ за месяц, на руки",
"Дизайнер (UX/UI, веб, графика)",https://hh.ru/vacancy/131421579?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО ЭБС Лань,"Опыт работы от 1 года (готовы рассмотреть кандидатов без опыта, в таком случае, просьба прикрепить мотивационное письмо). Умение работать в...",,,
Графический дизайнер (маркетплейсы),https://hh.ru/vacancy/131228571?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,WildSpace,Свободное владение Adobe Photoshop. Умение создавать креативные визуалы в рекламных целях. Умение делать Арты в фотошопе. Наличие портфолио обязательно. *,,"57 500 – 93 000 ₽ за месяц, на руки",
Графический дизайнер,https://hh.ru/vacancy/131939826?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,ООО «ЛСР»,"Профильное образование (графический дизайн, визуальные коммуникации или смежные направления). Уверенное владение профессиональными графическими редакторами. Грамотность и развитый визуальный кругозор.",,,
Менеджер веб-проектов / аккаунт-менеджер,https://hh.ru/vacancy/131432997?query=%D0%B2%D0%B5%D0%B1+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D0%B5%D1%80&hhtmFrom=vacancy_search_list,Санкт-Петербург,Феррум Студио,Опыт работы в сфере интернет рекламы и web от двух лет. Приветствуется опыт работы на аналогичной должности в,,"от 85 000 ₽ за месяц, на руки",
