title,region__title,country_title
Москва,Московская область,Россия
Санкт-Петербург,Ленинградская область,Россия
Новосибирск,Новосибирская область,Россия
Екатеринбург,Свердловская область,Россия
Нижний Новгород,Нижегородская область,Россия
Ростов-на-Дону,Ростовская область,Россия
Хабаровск,Хабаровский край,Россия
Казань,Республика Татарстан,Россия
Челябинск,Челябинская область,Россия
Омск,Омская область,Россия
Самара,Самарская область,Россия
Уфа,Республика Башкортостан,Россия
Красноярск,Красноярский край,Россия
Донецк (Донецкая область),Донецкая Народная Республика,Россия
Пермь,Пермский край,Россия
Воронеж,Воронежская область,Россия
Волгоград,Волгоградская область,Россия
Запорожье,Запорожская область,Россия
Саратов,Саратовская область,Россия
Краснодар,Краснодарский край,Россия
Тольятти,Самарская область,Россия
Ижевск,Удмуртская Республика,Россия
Барнаул,Алтайский край,Россия
Иркутск,Иркутская область,Россия
Ульяновск,Ульяновская область,Россия
Ярославль,Ярославская область,Россия
Новокузнецк,Кемеровская область,Россия
Оренбург,Оренбургская область,Россия
Рязань,Рязанская область,Россия
Владивосток,Приморский край,Россия
Пенза,Пензенская область,Россия
Тюмень,"Тюменская область, включая Ханты-Мансийский АО и Ямало-Ненецкий АО",Россия
Набережные Челны,Республика Татарстан,Россия
Липецк,Липецкая область,Россия
Астрахань,Астраханская область,Россия
Абакан,Республика Хакасия,Россия
Анадырь,Чукотский автономный округ,Россия
Архангельск,Архангельская область,Россия
Белгород,Белгородская область,Россия
Биробиджан,Еврейская автономная область,Россия
Благовещенск (Амурская область),Амурская область,Россия
Брянск,Брянская область,Россия
Великий Новгород,Новгородская область,Россия
Владикавказ,Республика Северная Осетия - Алания,Россия
Владимир,Владимирская область,Россия
Вологда,Вологодская область,Россия
Горно-Алтайск,Республика Алтай,Россия
Грозный,Чеченская Республика,Россия
Иваново,Ивановская область,Россия
Йошкар-Ола,Республика Марий Эл,Россия
Калининград,Калининградская область,Россия
Калуга,Калужская область,Россия
Кемерово,Кемеровская область,Россия
Киров (Кировская область),Кировская область,Россия
Кострома,Костромская область,Россия
Курган,Курганская область,Россия
Курск,Курская область,Россия
Кызыл,Республика Тыва,Россия
Магадан,Магаданская область,Россия
Магас,Республика Ингушетия,Россия
Майкоп,Республика Адыгея,Россия
Махачкала,Республика Дагестан,Россия
Мурманск,Мурманская область,Россия
Нальчик,Кабардино-Балкарская Республика,Россия
Орел,Орловская область,Россия
Петрозаводск,Республика Карелия,Россия
Петропавловск-Камчатский,Камчатский край,Россия
Псков,Псковская область,Россия
Саранск,Республика Мордовия,Россия
Севастополь,Республика Крым,Россия
Смоленск,Смоленская область,Россия
Ставрополь,Ставропольский край,Россия
Сыктывкар,Республика Коми,Россия
Тамбов,Тамбовская область,Россия
